company,token,platform,status,last_checked,notes
Everway,everway,greenhouse,verified,2026-08-11T02:13:36,Auto-discovered
Houserx,houserx,greenhouse,verified,2026-08-11T13:24:15,Auto-discovered
Stackblitz,stackblitz,greenhouse,verified,2026-08-21T01:02:49,Auto-discovered
Pinterest,pinterest,greenhouse,verified,2026-08-11T02:13:36,Auto-discovered
Sourcegraph91,sourcegraph91,greenhouse,verified,2026-08-15T09:13:04,Auto-discovered
Lively43,lively43,greenhouse,verified,2026-08-13T02:19:43,Auto-discovered
Codepath,codepath,greenhouse,verified,2026-08-17T11:23:46,Auto-discovered
Wizardcommerce,wizardcommerce,greenhouse,verified,2026-08-25T15:31:41,Auto-discovered
Vsco39,vsco39,greenhouse,verified,2026-08-07T00:15:38,Auto-discovered
Runpod,runpod,ashby,verified,2026-07-28T19:31:29,Auto-discovered
Zoominfo,zoominfo,greenhouse,verified,2026-08-21T14:46:15,Auto-discovered
Cresta,cresta,greenhouse,verified,2026-08-25T15:54:57,Auto-discovered
Workstream,workstream,greenhouse,verified,2026-08-15T21:44:35,Auto-discovered
Housecall,housecall,greenhouse,verified,2026-08-24T17:24:32,Auto-discovered
Flex,flex,greenhouse,verified,2026-08-15T16:21:07,Auto-discovered
Launchdarkly,launchdarkly,greenhouse,verified,2026-08-15T09:29:23,Auto-discovered
Doordashusa,doordashusa,greenhouse,verified,2026-08-11T16:33:14,Auto-discovered
Customerio,customerio,greenhouse,verified,2026-08-11T16:43:50,Auto-discovered
Mavenclinic,mavenclinic,greenhouse,verified,2026-08-03T21:17:52,Auto-discovered
Yext,yext,greenhouse,verified,2026-07-31T21:56:24,Auto-discovered
Typeform,typeform,greenhouse,verified,2026-08-11T07:47:41,Auto-discovered
Cadencesolutions,solutions,greenhouse,verified,2026-07-31T21:56:24,Auto-discovered
Processstreet,processstreet,greenhouse,verified,2026-08-25T21:16:34,Auto-discovered
Arcadiacareers,arcadiacareers,greenhouse,verified,2026-08-21T04:15:03,Auto-discovered
Yipitdata,yipitdata,greenhouse,verified,2026-08-25T15:37:15,Auto-discovered
Gitlab,gitlab,greenhouse,verified,2026-08-13T13:47:17,Auto-discovered
Cookunity,cookunity,greenhouse,verified,2026-08-11T16:09:23,Auto-discovered
Thenewyorktimes,thenewyorktimes,greenhouse,verified,2026-08-26T21:05:11,Auto-discovered
Roku,roku,greenhouse,verified,2026-08-17T11:45:52,Auto-discovered
Rockstargames,rockstargames,greenhouse,verified,2026-08-12T22:05:57,Auto-discovered
6Sense,6sense,greenhouse,verified,2026-08-11T11:53:58,Auto-discovered
Talkdesk2,talkdesk2,greenhouse,verified,2026-08-15T09:51:50,Auto-discovered
Roblox,roblox,greenhouse,verified,2026-08-12T22:04:28,Auto-discovered
Recordedfuture,recordedfuture,greenhouse,verified,2026-08-15T17:41:50,Auto-discovered
Fastspring,fastspring,greenhouse,verified,2026-08-21T03:34:18,Auto-discovered
Vulncheck,vulncheck,greenhouse,verified,2026-07-30T19:52:37,Auto-discovered
Coursera,coursera,greenhouse,verified,2026-08-18T05:28:43,Auto-discovered
Tekmetric,tekmetric,greenhouse,verified,2026-08-11T15:58:34,Auto-discovered
Justworks,justworks,greenhouse,verified,2026-08-12T10:01:25,Auto-discovered
Netbrain,netbrain,greenhouse,verified,2026-08-13T02:49:01,Auto-discovered
Petdesk,petdesk,lever,verified,2026-08-23T10:46:43,Auto-discovered
Actblue,actblue,greenhouse,verified,2026-08-11T07:25:34,Auto-discovered
Humaninterest,humaninterest,greenhouse,verified,2026-08-21T14:46:15,Auto-discovered
Gomotive,gomotive,greenhouse,verified,2026-08-13T02:07:31,Auto-discovered
Avetta,avetta,greenhouse,verified,2026-08-24T22:12:38,Auto-discovered
Oportun,oportun,greenhouse,verified,2026-08-18T05:16:28,Auto-discovered
Sonymusicentertainment,sonymusicentertainment,greenhouse,verified,2026-07-30T19:52:37,Auto-discovered
Rushstreetinteractive,rushstreetinteractive,greenhouse,verified,2026-08-17T18:18:31,Auto-discovered
Translucent,translucent,greenhouse,verified,2026-09-03T23:14:10,Auto-discovered
Angi,angi,ashby,verified,2026-08-06T22:38:49,Auto-discovered
Economicmodeling,economicmodeling,lever,verified,2026-08-17T17:44:37,Auto-discovered
Jobgether,jobgether,lever,verified,2026-08-20T23:29:03,Auto-discovered
15Five,15five,lever,verified,2026-08-20T17:59:18,Auto-discovered
Petvisor,petvisor,lever,verified,2026-08-17T14:44:01,Auto-discovered
Spotify,spotify,lever,verified,2026-08-14T23:30:40,Auto-discovered
Windfalldata,windfalldata,lever,verified,2026-08-20T15:50:57,Auto-discovered
Netomi,netomi,lever,verified,2026-08-30T03:41:21,Auto-discovered
Kiddom,kiddom,ashby,verified,2026-08-10T22:26:28,Auto-discovered
Ridezum,ridezum,lever,verified,2026-08-20T13:57:29,Auto-discovered
Bellese,bellese,lever,verified,2026-08-18T05:40:49,Auto-discovered
Elorian,elorian-ai-inc,ashby,verified,,Confirmed via their own Join Us link (jobs.ashbyhq.com/elorian-ai-inc)
Pencil,pencil,ashby,verified,2026-08-24T16:24:07,Auto-discovered
American Terawatt,american terawatt,ashby,verified,2026-07-31T22:21:39,Auto-discovered
Effective-Ai,effective-ai,ashby,verified,2026-08-03T21:17:52,Auto-discovered
Angi,angi,ashby,verified,2026-08-06T22:38:49,Auto-discovered
Kiddom,kiddom,ashby,verified,2026-08-10T22:26:28,Auto-discovered
Biograph,biograph,ashby,verified,2026-08-12T11:48:51,Auto-discovered
Fireworks,fireworks,ashby,verified,2026-08-12T13:09:26,Auto-discovered
Instrumentl,instrumentl,lever,verified,2026-08-14T23:30:40,Auto-discovered
seekr,seekr,greenhouse,verified,2026-08-15T09:06:11,Auto-discovered
OhMD,ohmd,greenhouse,verified,2026-08-15T09:48:12,Auto-discovered
Knit,knit,greenhouse,verified,2026-08-17T15:01:04,Auto-discovered
3E,3e,ashby,verified,2026-08-18T15:38:27,Auto-discovered
3E,3e,ashby,verified,2026-08-18T15:01:19,Auto-discovered
corridor,corridor,ashby,verified,2026-08-20T13:22:37,Auto-discovered
Code Metal,code-metal,ashby,verified,2026-08-20T15:51:13,Auto-discovered
Tenna,tenna,lever,verified,2026-08-21T00:07:53,Auto-discovered
BestEgg,BestEgg,lever,verified,2026-08-21T01:44:47,Auto-discovered
Survey Monkey,surveymonkey,ashby,verified,2026-08-21T03:21:55,Auto-discovered
Quinstreet,quinstreet,greenhouse,verified,2026-08-21T04:36:46,Auto-discovered
neighborly Software,neighborly-software,ashby,verified,2026-08-24T17:44:37,Auto-discovered
Work Hero,workhero,ashby,verified,2026-08-23T10:19:52,Auto-discovered
Wand,wand,ashby,verified,2026-08-24T22:44:19,Auto-discovered
Lance,lance,ashby,verified,2026-08-25T09:15:25,Auto-discovered
Revin,revin,ashby,verified,2026-08-25T16:03:43,Auto-discovered
within-ai,within-ai,ashby,verified,2026-08-25T21:08:09,Auto-discovered
Chalk,chalk,ashby,verified,2026-08-29T03:24:06,Auto-discovered
Gen Digital,gen-digital,ashby,verified,2026-08-31T12:43:23,Auto-discovered
P-1%20AI,P-1%20AI,ashby,verified,2026-09-02T07:32:23,Auto-discovered
